Interest,Career Goal,Skills,Course
Engineering,Automobile Engineer,Physics;Design,Mechanical Engineering
Medical,Staff Nurse,Patient Care;Biology,BSc Nursing
Medical,Pharma Researcher,Chemistry;Medicine,BPharmacy
Engineering,Control Engineer,Automation;Math,Electrical Engineering
Engineering,Electrical Engineer,Automation;Math,Electrical Engineering
Engineering,Project Engineer,Math;Design,Civil Engineering
Business,Business Manager,Sales;Creativity,BBM
Arts,Editor,Writing;Creativity,BJMC
Arts,Counselor,Empathy;Communication,BA Psychology
Business,Accountant,Accounts;Data,BBS
Medical,Physician,Biology;Research,MBBS
IT,System Analyst,Troubleshooting;Hardware,BIT
Business,CEO,Leadership;Communication,BBA
Engineering,Control Engineer,Automation;Math,Electrical Engineering
Arts,Psych Analyst,Empathy;Communication,BA Psychology
Business,Marketing Executive,Sales;Creativity,BBM
Tourism,Hotel Manager,Management;Tourism,BHM
IT,System Developer,Hardware;Software,Computer Engineering
IT,Web Developer,Coding;Logic,BCA
Business,Resort Manager,Customer Service;Management,BHM
Business,Bookkeeper,Audit;Analysis,BBS
Business,Entrepreneur,Management;Strategy,BBA
Business,Marketing Executive,Management;Strategy,BBM
Social,Researcher,Helping;Communication,BA Sociology
Engineering,Tech Engineer,Hardware;Software,Computer Engineering
Arts,Editor,Editing;Writing,BJMC
IT,Backend Developer,Python;DB,BSc CSIT
Media,Journalist,Writing;Communication,BJMC
Arts,Social Worker,Social;Helping,BA Sociology
Engineering,Machine Operator,CAD;Mechanics,Mechanical Engineering
Arts,Social Worker,Research;Logic,BA Sociology
IT,IT Specialist,Database;Networking,BIT
Arts,NGO Worker,Social;Helping,BA Sociology
Medical,Pharmacist,Chemistry;Medicine,BPharmacy
Medical,Surgeon,Biology;Diagnosis,MBBS
Medical,Specialist,Biology;Precision,MBBS
Media,Reporter,Writing;Creativity,BJMC
Engineering,Automobile Engineer,Mechanics;Tools,Mechanical Engineering
Business,Team Leader,Leadership;Planning,BBM
IT,Data Scientist,Python;DB,BSc CSIT
Social,Social Worker,Analysis;Study,BA Sociology
Business,Business Manager,Leadership;Planning,BBM
Engineering,Embedded Engineer,Programming;Logic,Computer Engineering
Business,Team Leader,Leadership;Planning,BBM
IT,Software Developer,Coding;Logic,BCA
Medical,Nurse,Patient Care;Biology,BSc Nursing
Law,Judge,Reading;Writing,BALLB
IT,System Analyst,Cloud;Linux,BIT
Law,Judge,Law;Analysis,BALLB
Engineering,Mechanical Engineer,Mechanics;Tools,Mechanical Engineering
IT,Data Analyst,ML;Python,BSc CSIT
Business,Finance Officer,Accounts;Data,BBS
Media,Reporter,Writing;News,BJMC
Engineering,Technician,Circuits;Math,Electrical Engineering
Medical,Pharmacy Assistant,Chemistry;Research,BPharmacy
Arts,Editor,Writing;Communication,BJMC
Business,Accountant,Accounting;Excel,BBS
Arts,Editor,Writing;Communication,BJMC
Business,Manager,Business;Innovation,BBA
Business,Manager,Sales;Creativity,BBA
IT,Data Analyst,Python;Statistics,BSc CSIT
IT,Data Analyst,Python;Statistics,BSc CSIT
Arts,Psychologist,Research;Thinking,BA Psychology
IT,IT Specialist,Troubleshooting;Hardware,BIT
Arts,Counselor,Research;Thinking,BA Psychology
Engineering,Civil Engineer,Math;Design,Civil Engineering
Engineering,Control Engineer,Automation;Math,Electrical Engineering
Psychology,Counselor,Empathy;Communication,BA Psychology
Arts,Content Creator,Writing;News,BJMC
Medical,Drug Specialist,Drugs;Knowledge,BPharmacy
Arts,Reporter,Writing;News,BJMC
IT,Cloud Engineer,Cloud;Linux,BIT
Engineering,Design Engineer,Engines;Design,Mechanical Engineering
Engineering,System Developer,Hardware;Software,Computer Engineering
Engineering,Civil Engineer,Planning;Management,Civil Engineering
Business,Finance Officer,Accounts;Data,BBS
IT,Web Developer,Coding;Logic,BCA
Law,Judge,Debate;Law,BALLB
Arts,Community Worker,Social;Helping,BA Sociology
Business,CEO,Management;Strategy,BBA
IT,Data Scientist,Python;DB,BSc CSIT
IT,Programmer,HTML;CSS;JS,BCA
Business,Receptionist,Customer Service;Management,BHM
Social,NGO Worker,Analysis;Study,BA Sociology
IT,Data Scientist,ML;Python,BSc CSIT
Engineering,System Developer,Coding;Algorithms,Computer Engineering
IT,Backend Developer,Statistics;AI,BSc CSIT
Business,Accountant,Finance;Math,BBS
IT,Web Developer,Debugging;Python,BCA
IT,Backend Developer,Python;DB,BSc CSIT
Arts,Content Creator,Writing;News,BJMC
Medical,Pharmacist,Chemistry;Research,BPharmacy
Medical,Pharmacy Assistant,Chemistry;Medicine,BPharmacy
Engineering,Project Engineer,Math;Physics,Civil Engineering
Business,Team Leader,Leadership;Planning,BBM
Business,Supervisor,Leadership;Planning,BBM
Medical,Surgeon,Biology;Precision,MBBS
IT,App Developer,Debugging;Python,BCA
Social,Social Worker,Social;Helping,BA Sociology
Medical,Physician,Biology;Chemistry,MBBS
IT,Software Developer,Debugging;Python,BCA
Medical,Healthcare Worker,Support;Care,BSc Nursing
IT,System Analyst,Database;Networking,BIT
Engineering,Technician,Energy;Systems,Electrical Engineering
Business,Business Manager,Sales;Creativity,BBM
Engineering,Machine Operator,Engines;Design,Mechanical Engineering
Arts,Social Worker,Helping;Communication,BA Sociology
Business,Accountant,Accounts;Data,BBS
Psychology,Psych Analyst,Analysis;Listening,BA Psychology
Psychology,Psych Analyst,Listening;Support,BA Psychology
Law,Legal Advisor,Debate;Law,BALLB
Arts,Content Creator,Writing;Communication,BJMC
IT,Data Scientist,ML;Python,BSc CSIT
Engineering,Design Engineer,Physics;Design,Mechanical Engineering
IT,System Developer,Hardware;Software,Computer Engineering
Business,Auditor,Accounts;Data,BBS
Arts,Therapist,Empathy;Communication,BA Psychology
Medical,Drug Specialist,Chemistry;Analysis,BPharmacy
IT,Tech Engineer,Programming;Logic,Computer Engineering
Medical,Pharmacist,Chemistry;Medicine,BPharmacy
IT,System Analyst,Cloud;Linux,BIT
Engineering,Machine Operator,Physics;Design,Mechanical Engineering
Engineering,Power Engineer,Energy;Systems,Electrical Engineering
Business,CEO,Leadership;Communication,BBA
Arts,NGO Worker,Research;Logic,BA Sociology
Media,Content Creator,Writing;Communication,BJMC
IT,Network Engineer,Networking;Security,BIT
Business,Supervisor,Sales;Creativity,BBM
Arts,Editor,Editing;Writing,BJMC
IT,Data Analyst,ML;Python,BSc CSIT
Engineering,Mechanical Engineer,Engines;Design,Mechanical Engineering
Engineering,Project Engineer,Math;Design,Civil Engineering
Engineering,Electrical Engineer,Automation;Math,Electrical Engineering
IT,AI Engineer,Python;DB,BSc CSIT
Engineering,Control Engineer,Energy;Systems,Electrical Engineering
Law,Judge,Law;Communication,BALLB
Psychology,Therapist,Listening;Support,BA Psychology
IT,Web Developer,Coding;Logic,BCA
Business,Finance Officer,Accounts;Data,BBS
Engineering,Technician,Electrical;Repair,Electrical Engineering
Business,Auditor,Finance;Math,BBS
Business,Auditor,Finance;Math,BBS
Medical,Drug Specialist,Chemistry;Research,BPharmacy
Business,Resort Manager,Communication;Hospitality,BHM
Psychology,Psych Analyst,Analysis;Listening,BA Psychology
IT,Cloud Engineer,Database;Networking,BIT
