Interest,Career Goal,Skills,Course
IT,Software Developer,"Coding, Logic, Problem Solving",BCA
Computers,Web Developer,"Creativity, Coding, Basic Math",BCA
Web Development,IT Support Engineer,"Coding, Creativity, Basic Math",BCA
Computers,Web Developer,"Basic Math, Creativity, Coding",BCA
Web Development,Web Developer,"Creativity, Basic Math, Debugging",BCA
Advanced IT,Software Developer,"Coding, Logic, Problem Solving, Algorithms",BCA
Computers,Full Stack Developer,"Creativity, Coding, Basic Math, Databases",BCA
Web Development,IT Support Engineer,"Coding, Creativity, Basic Math, Networking",BCA
Computers,Mobile App Developer,"Basic Math, Creativity, Coding, UI/UX",BCA
Web Development,Web Developer,"Creativity, Basic Math, Debugging, JavaScript",BCA
Data Analytics,Data Analyst,"Coding, Logic, Problem Solving, SQL",BCA
Computers,Web Developer,"Creativity, Coding, Basic Math, HTML/CSS",BCA
Web Development,IT Support Engineer,"Coding, Creativity, Basic Math, Troubleshooting",BCA
Computers,Software Tester,"Basic Math, Creativity, Coding, Testing Tools",BCA
Web Development,Web Developer,"Creativity, Basic Math, Debugging, SEO",BCA
AI/ML,AI Engineer,"Coding, Logic, Problem Solving, Machine Learning",BCA
Computers,Web Developer,"Creativity, Coding, Basic Math, Frameworks",BCA
Web Development,IT Support Engineer,"Coding, Creativity, Basic Math, Cloud",BCA
Computers,Backend Developer,"Basic Math, Creativity, Coding, APIs",BCA
Web Development,Web Developer,"Creativity, Basic Math, Debugging, Responsive Design",BCA
Robotics,Data Scientist,"Physics, Mathematics, Design Thinking, Programming",Mechanical Engineering
Automobiles,Automotive Engineer,"Thermodynamics, CAD, Problem Solving, Materials",Mechanical Engineering
Manufacturing,Production Manager,"Materials Science, Engineering Drawing, Quality Control, Lean",Mechanical Engineering
Robotics,Robotics Engineer,"Mechatronics, Programming, Mechanics, Sensors",Mechanical Engineering
Energy Systems,HVAC Engineer,"Fluid Mechanics, Energy Efficiency, Project Management, Sustainability",Mechanical Engineering
Advanced Machines,Mechanical Engineer,"Physics, Mathematics, Design Thinking, Simulation",Mechanical Engineering
Automobiles,Automotive Engineer,"Thermodynamics, CAD, Problem Solving, Electric Vehicles",Mechanical Engineering
Manufacturing,Production Manager,"Materials Science, Engineering Drawing, Quality Control, Automation",Mechanical Engineering
Robotics,Robotics Engineer,"Mechatronics, Programming, Mechanics, AI Integration",Mechanical Engineering
Energy Systems,HVAC Engineer,"Fluid Mechanics, Energy Efficiency, Project Management, Renewable",Mechanical Engineering
Aerospace,Aerospace Engineer,"Physics, Mathematics, Design Thinking, Aerodynamics",Mechanical Engineering
Automobiles,Automotive Engineer,"Thermodynamics, CAD, Problem Solving, Safety Standards",Mechanical Engineering
Manufacturing,Production Manager,"Materials Science, Engineering Drawing, Quality Control, Supply Chain",Mechanical Engineering
Robotics,Robotics Engineer,"Mechatronics, Programming, Mechanics, Control Systems",Mechanical Engineering
Energy Systems,HVAC Engineer,"Fluid Mechanics, Energy Efficiency, Project Management, Green Tech",Mechanical Engineering
Patient Care,Registered Nurse,"Biology, Empathy, Communication, Patient Monitoring",BSc Nursing
Healthcare,Clinical Nurse,"Anatomy, Patient Monitoring, Compassion, Medication Admin",BSc Nursing
Community Health,Public Health Nurse,"Health Education, Epidemiology, Teamwork, Prevention",BSc Nursing
Critical Care,ICU Nurse,"Emergency Response, Medical Knowledge, Stress Management, Ventilator Care",BSc Nursing
Pediatrics,Pediatric Nurse,"Child Psychology, Vaccination Knowledge, Caregiving, Family Support",BSc Nursing
Advanced Healthcare,Registered Nurse,"Biology, Empathy, Communication, Critical Thinking",BSc Nursing
Healthcare,Clinical Nurse,"Anatomy, Patient Monitoring, Compassion, Wound Care",BSc Nursing
Community Health,Public Health Nurse,"Health Education, Epidemiology, Teamwork, Data Analysis",BSc Nursing
Critical Care,ICU Nurse,"Emergency Response, Medical Knowledge, Stress Management, Team Coordination",BSc Nursing
Pediatrics,Pediatric Nurse,"Child Psychology, Vaccination Knowledge, Caregiving, Developmental Assessment",BSc Nursing
Medicines,Pharmacist,"Chemistry, Pharmacology, Attention to Detail, Dispensing",BPharmacy
