Student_ID,Interest,Career Goal,Skills,Recommended Course
S001,IT,Software Developer,"Coding, Logic, Problem Solving",BCA
S002,Computers,Web Developer,"Creativity, Coding, Basic Math",BCA
S003,Web Development,IT Support Engineer,"Coding, Creativity, Basic Math",BCA
S004,Computers,Web Developer,"Basic Math, Creativity, Coding",BCA
S005,Web Development,Web Developer,"Creativity, Basic Math, Debugging",BCA
S006,Computers,IT Support Engineer,"Basic Math, Logic, Coding",BCA
S007,Computers,IT Support Engineer,"Logic, Creativity, Problem Solving",BCA
S008,Computers,System Analyst,"Coding, Logic, Database",BSc CSIT
S009,Technology,System Analyst,"Problem Solving, Analytical Thinking, Logic",BSc CSIT
S010,Technology,Backend Developer,"Analytical Thinking, Coding, Database",BSc CSIT
S011,Technology,IT Researcher,"Problem Solving, Analytical Thinking, Logic",BSc CSIT
S012,AI,Data Analyst,"Logic, Coding, Analytical Thinking",BSc CSIT
S013,Cyber Security,Data Analyst,"Problem Solving, Coding, Algorithms",BSc CSIT
S014,Technology,Backend Developer,"Problem Solving, Database, Logic",BSc CSIT
S015,Information Systems,Systems Analyst,"Troubleshooting, Coding, Database",BIT
S016,Computing,IT Officer,"Logic, Coding, Database",BIT
S017,Information Systems,Software Tester,"Communication, Troubleshooting, Coding",BIT
S018,Computing,Systems Analyst,"Networking, Coding, Database",BIT
S019,Networking,Software Tester,"Troubleshooting, Networking, Coding",BIT
S020,Data,Systems Analyst,"Coding, Communication, Logic",BIT
S021,Finance,Bank Officer,"Leadership, Teamwork, Negotiation",BBA
S022,Management,HR Assistant,"Planning, Teamwork, Presentation",BBA
S023,Leadership,Bank Officer,"Teamwork, Leadership, Planning",BBA
S024,Leadership,Bank Officer,"Communication, Negotiation, Planning",BBA
S025,Management,Entrepreneur,"Negotiation, Presentation, Communication",BBA
S026,Marketing,Bank Officer,"Planning, Presentation, Teamwork",BBA
S027,Leadership,Business Manager,"Negotiation, Communication, Teamwork",BBA
S028,Office Work,Office Manager,"Accounting, Math, Organization",BBS
S029,Accounting,Finance Assistant,"Accounting, Math, Communication",BBS
S030,Economics,Accountant,"Time Management, Math, Communication",BBS
S031,Accounting,Office Manager,"Communication, Excel, Accounting",BBS
S032,Economics,Office Manager,"Organization, Accounting, Excel",BBS
S033,Finance,Office Manager,"Communication, Accounting, Time Management",BBS
S034,Leadership,Manager,"Leadership, Teamwork, Planning",BBM
S035,Leadership,Sales Executive,"Communication, Teamwork, Planning",BBM
S036,Management,Business Consultant,"Negotiation, Teamwork, Communication",BBM
S037,Leadership,Sales Executive,"Planning, Decision Making, Teamwork",BBM
S038,Entrepreneurship,Entrepreneur,"Teamwork, Negotiation, Planning",BBM
S039,Business,Sales Executive,"Communication, Leadership, Decision Making",BBM
S040,Tourism,Restaurant Manager,"Presentation, Customer Service, Management",BHM
S041,Tourism,Hotel Manager,"Management, Communication, Customer Service",BHM
S042,Tourism,Hotel Manager,"Teamwork, Communication, Customer Service",BHM
S043,Travel,Guest Relations Executive,"Customer Service, Presentation, Management",BHM
S044,Customer Service,Restaurant Manager,"Presentation, Discipline, Customer Service",BHM
S045,Food Service,Guest Relations Executive,"Customer Service, Communication, Presentation",BHM
S046,Surveying,Project Engineer,"Drawing, Problem Solving, Planning",Civil Engineering
S047,Roads,Civil Engineer,"Observation, Math, Planning",Civil Engineering
S048,Roads,Structural Engineer,"Math, Physics, Planning",Civil Engineering
S049,Buildings,Construction Manager,"Problem Solving, Physics, Observation",Civil Engineering
S050,Buildings,Structural Engineer,"Problem Solving, Physics, Math",Civil Engineering
S051,Roads,Construction Manager,"Math, Observation, Planning",Civil Engineering
S052,Technology,Hardware Engineer,"Electronics, Problem Solving, Math",Computer Engineering
S053,Electronics,Hardware Engineer,"Problem Solving, Coding, Electronics",Computer Engineering
